Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal
1,1,Badlegi Business Ki Tasveer,1,BluePineFoods,Food,Frozen Momos,Middle,Delhi,Delhi,95,8,,50,5,1000,1,1,75,16,469,3
1,1,Badlegi Business Ki Tasveer,2,BoozScooters,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,Young,Ahmedabad,Gujarat,4,0.4,,40,15,267,1,1,40,50,80,2
1,1,Badlegi Business Ki Tasveer,3,HeartUpMySleeves,Beauty/Fashion,Detachable Sleeves,Young,Delhi,Delhi,,2,,25,10,250,1,1,25,30,83,2
1,2,"Insaan, Ideas Aur Sapne",4,TagzFoods,Food,Healthy Potato Chips Snacks,Middle,Bangalore,Karnataka,700,,48,70,1,7000,1,1,70,2.75,2545,1
1,2,"Insaan, Ideas Aur Sapne",5,HeadAndHeart,Education,Brain Development Course,Middle,Patiala,Punjab,30,,,50,5,1000,0,,,,,
1,2,"Insaan, Ideas Aur Sapne",6,Agritourism,Agriculture,Tourism,Middle,Baramati,Maharashtra,79,,,50,5,1000,0,,,,,
1,3,Aam Aadmi Ke Business Ideas,7,qZenseLabs,Food,Food Freshness Detector,Middle,"Delhi,Mohali","Delhi,Punjab",25,,,100,0.25,40000,1,0,,,,
1,3,Aam Aadmi Ke Business Ideas,8,Peeschute,Beauty/Fashion,Disposable Urine Bag,Young,Jalna,Maharashtra,100,,,75,4,1875,1,1,75,6,1250,1
1,3,Aam Aadmi Ke Business Ideas,9,NOCD,Food,Energy Drink,Middle,Bangalore,Karnataka,,20,,50,2,2500,1,1,20,15,133,1
1,4,Entrepreneurship Ki Wave,10,CosIQ,Beauty/Fashion,Intelligent Skincare,Middle,Delhi,Delhi,,4,75,50,7.5,667,1,1,50,25,200,2
1,4,Entrepreneurship Ki Wave,11,JhaJiAchaar,Food,Pickle,Old,Darbhanga,Bihar,,5,18,50,10,500,1,1,56.6,5.62,1007,2
1,4,Entrepreneurship Ki Wave,12,Bummer,Beauty/Fashion,Underwear,Young,Ahmedabad,Gujarat,,15,70,75,4,1875,1,1,75,7.5,1000,2
1,5,Hunt For Interesting Business,13,RevampMoto,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,Young,Nashik,Maharashtra,,0.01,,100,1,10000,1,1,100,1.5,6667,2
1,5,Hunt For Interesting Business,14,HungryHead,Food,Restaurant serving 80 types of Maggi,Middle,Mumbai,Maharashtra,,5.5,,50,5,1000,0,,,,,
1,5,Hunt For Interesting Business,15,ShrawaniEngineers,Beauty/Fashion,Belly Button Shaper,Middle,Nagpur,Maharashtra,50,,,20,10,200,0,,,,,
1,6,"New Week, New Ideas",16,SkippiIcePops,Food,Ice-Pops,Middle,Hyderabad,Telangana,,6,,45,5,900,1,1,100,15,667,5
1,6,"New Week, New Ideas",17,Menstrupedia,Education,Menstrual Awareness Comic,Middle,Ahmedabad,Gujarat,115,,,50,10,500,1,1,50,20,250,1
1,6,"New Week, New Ideas",18,Hecoll,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,Middle,Hyderabad,Telangana,107,,,100,1,10000,0,,,,,
1,7,A Never Give Up Spirit,19,RaisingSuperstars,Education,Child Development App,Middle,Gurgaon,Haryana,1300,,,100,2,5000,1,1,100,4,2500,2
1,7,A Never Give Up Spirit,20,Torch-it,Education,Gadgets for visually impaired people,Middle,Ahmedabad,Gujarat,,1,,75,1,7500,1,0,,,,
1,7,A Never Give Up Spirit,21,Kavach,Education,Report bullying incidents,Young,Gurgaon,Haryana,,,,5,10,50,1,1,5,10,50,2
1,7,A Never Give Up Spirit,22,LaKheerDeli,Food,Kheer in variety of flavors,Middle,Pune,Maharashtra,,6,,50,7.5,667,1,0,,,,
1,8,Shark Ko Impress Karne Wale Ideas,23,BeyondSnack,Food,Kerala Banana Chips,Middle,Thiruvananthapuram,Kerala,,20.6,51,50,2.5,2000,1,1,50,2.5,2000,2
1,8,Shark Ko Impress Karne Wale Ideas,24,VivalyfInnovations,Medical/Health,Easy Life Prickless Diabetes Testing Machine,Young,Hyderabad,Telangana,,,,56,7.5,747,1,1,56,33.33,168,2
1,8,Shark Ko Impress Karne Wale Ideas,25,MotionBreeze,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,Middle,Vadodara,Gujarat,0,,,30,3,1000,1,1,30,6,500,1
1,9,Defining Innovations,26,Altor,Manufacturing,Smart Helmets,Young,Kolkata,West Bengal,,,,50,5,1000,1,1,50,7,714,2
1,9,Defining Innovations,27,Ariro,Manufacturing,Wooden Toys,Young,Chennai,Tamil Nadu,300,25,50,50,2.5,2000,1,1,50,10,500,2
1,9,Defining Innovations,28,KabiraHandmad,Food,Healthy Edible Oils dairy products spices flour,Middle,Jaipur,Rajasthan,,160,3,100,5,2000,1,0,,,,
1,10,Passion About Entrepreneurship,29,Nuutjob,Beauty/Fashion,Male Intimate Hygiene deo spray,Young,Ahmedabad,Gujarat,,0.002,70,25,5,500,1,1,25,20,125,3
1,10,Passion About Entrepreneurship,30,Meatyour,Food,Eggs,Middle,Pune,Maharashtra,130,2.8,30,30,5,600,1,1,30,20,150,3
1,10,Passion About Entrepreneurship,31,EventBeep,Education,Student Community App EdTech,Young,Pune,Maharashtra,,,,30,2,1500,1,1,30,3,1000,3
1,11,Investment Paane Ka Sapna,32,Gopal's56,Food,Fiber Ice Cream,Middle,Delhi,Delhi,80,33,,30000,25,120000,0,,,,,
1,11,Investment Paane Ka Sapna,33,ARRCOATSurfaceTextures,Manufacturing,Wall Building Surface Textures,Middle,Delhi,Delhi,,6,,50,5,1000,1,1,50,15,333,1
1,11,Investment Paane Ka Sapna,34,Farda,Beauty/Fashion,Customised Streetwear,Young,Nagpur,Maharashtra,,0.32,115,30,10,300,1,1,30,20,150,2
1,12,Ek Idea Aur Uske Do Sides,35,Auli,Beauty/Fashion,Ayurvedic Products Skincare Lifestyle,Middle,Kolkata,West Bengal,,16,80,75,4,1875,1,1,75,15,500,1
1,12,Ek Idea Aur Uske Do Sides,36,SweeDesi,Food,Indian Sweets Online,Middle,Pune,Maharashtra,,,,40,3,1333,0,,,,,
1,12,Ek Idea Aur Uske Do Sides,37,LOKA,Technology/Software,Metaverse App,Young,Delhi,Delhi,,,,40,5,800,1,1,40,24,167,3
1,13,Ideas By Young Entrepreneurs,38,Annie,Education,Thinkerbell labs Braille Literary Device,Young,Bangalore,Karnataka,,4,,30,0.5,6000,1,1,105,3,3500,3
1,13,Ideas By Young Entrepreneurs,39,Carragreen,Manufacturing,Eco-Friendly boxes,Middle,Indore,Madhya Pradesh,,,,50,10,500,1,1,50,20,250,2
1,13,Ideas By Young Entrepreneurs,40,TheYarnBazaar,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,Middle,Mumbai,Maharashtra,180,,,50,2,2500,1,1,100,10,1000,4
1,14,Naye Aur Nayab Pitchers,41,TheRenalProject,Medical/Health,Home Dialysis Treatment,Middle,Mumbai,Maharashtra,90,,,100,3,3333,1,1,100,6,1667,2
1,14,Naye Aur Nayab Pitchers,42,MorrikoPureFoods,Food,Healthy Food Snacks Kamdhenu foods,Middle,Valsad,Gujarat,,16,,100,3,3333,1,0,,,,
1,14,Naye Aur Nayab Pitchers,43,GoodGoodPiggy,Technology/Software,Digital Piggy Bank,Young,Delhi,Delhi,0,,,45,5,900,0,,,,,
1,15,It's Time To Change,44,HammerLifestyle,Electronics,Smart Audio Products,Young,Panipat,Haryana,1000,,,30,3,1000,1,1,100,40,250,1
1,15,It's Time To Change,45,PNT,Technology/Software,Robotics and Automation Solutions,Young,Mumbai,Maharashtra,,,,50,4,1250,1,1,25,25,100,1
1,15,It's Time To Change,46,Cocofit,Food,Coconut based beverage franchise,Middle,Hyderabad,Telangana,100,,95,0.00005,5,0,1,1,0.00005,5,0,3
1,16,Winning The Sharks Trust,47,BambooIndia,Manufacturing,Bamboo Products,Middle,Pune,Maharashtra,,20,,80,4,2000,1,1,50,3.5,1429,2
1,16,Winning The Sharks Trust,48,FlyingFur,Animal/Pets,Dog pets Hygiene,Middle,Delhi,Delhi,,,,75,7,1071,0,,,,,
1,16,Winning The Sharks Trust,49,BeyondWater,Food,Liquid Water Enhancer,Young,Kolkata,West Bengal,,10,,75,4,1875,1,1,75,15,500,2
1,16,Winning The Sharks Trust,50,Let'sTry,Food,Healthy Snacks,Middle,Delhi,Delhi,,3,55,45,2,2250,1,1,45,12,375,2
1,17,A Wave Of Startups,51,FindYourKicksIndia,Beauty/Fashion,Sneaker Resale,Young,Ludhiana,Punjab,,3.5,,50,10,500,1,1,50,25,200,5
1,17,A Wave Of Startups,52,AasVidyalaya,Education,EdTech App,Middle,Mumbai,Maharashtra,150,,,150,3,5000,1,1,150,15,1000,3
1,17,A Wave Of Startups,53,Outbox,Services,Premium Surprise-Planning,Young,Kolkata,West Bengal,110,,,50,5,1000,0,,,,,
1,17,A Wave Of Startups,54,RoadBounce,Technology/Software,Pothole Detection Software and Data,Middle,Pune,Maharashtra,250,,,80,10,800,1,1,80,20,400,1
1,18,Investing In Profitable Businesses,55,Mommy'sKitchen,Food,Thin Crust Pizza,Middle,Mumbai,Maharashtra,,4.5,,90,3,3000,0,,,,,
1,18,Investing In Profitable Businesses,56,IndiaHempandCo,Food,Hemp Food Products,Middle,Bangalore,Karnataka,,2,,50,4,1250,1,0,,,,
1,18,Investing In Profitable Businesses,57,Otua,Vehicles/Electrical Vehicles,Electric Auto Vehicle Dandera,Middle,Gurgaon,Haryana,,,,100,1,10000,1,1,1,1,100,1
1,18,Investing In Profitable Businesses,58,Anthyesti,Services,Funeral Service the last rites,Middle,Bangalore,Karnataka,116,,50,50,2.5,2000,0,,,,,
1,19,Forming An Idea And Bagging A Deal,59,Ethik,Manufacturing,Leather-free Shoes,Middle,Bangalore,Karnataka,,1,,15,5,300,0,,,,,
1,19,Forming An Idea And Bagging A Deal,60,WeSTOCK,Animal/Pets,Brainwired Livestock health monitoring AI pets ear tag,Middle,Ernakulam,Kerala,55,,,50,5,1000,1,1,60,10,600,4
1,19,Forming An Idea And Bagging A Deal,61,KetoIndia,Food,Customised Keto Diets for various Medical/Health issues,Young,Delhi,Delhi,180,,,150,1.25,12000,1,0,,,,
1,19,Forming An Idea And Bagging A Deal,62,Magiclock,Hardware,LPG Cylinder lock,Middle,Mumbai,Maharashtra,,0.04,,120,8,1500,0,,,,,
1,20,A Variety Of Ideas,63,TheStatePlate,Food,Delicacies,Young,"Bangalore,Kolkata","Karnataka,West Bengal",,40,,65,2,3250,1,1,40,3,1333,1
1,20,A Variety Of Ideas,64,Bakarmax,Technology/Software,Comics & Animation,Young,Delhi,Delhi,35,,,35,5,700,0,,,,,
1,20,A Variety Of Ideas,65,INACAN,Food,Can Cocktails,Middle,Pune,Maharashtra,,23,,50,2,2500,1,1,100,10,1000,5
1,21,Game-changing Ideas,66,Get-A-Whey,Food,Sugar-Free Icecream,Middle,Mumbai,Maharashtra,360,0.25,69,100,8,1250,1,1,100,15,667,3
1,21,Game-changing Ideas,67,Sid07Designs,Hardware,Inventions,Young,Jammu,Jammu & Kashmir,,1,,47,10,470,1,1,25,75,33,1
1,21,Game-changing Ideas,68,TheQuirkyNaari,Beauty/Fashion,Customised Apparels,Young,Mathura,Uttar Pradesh,,3,,35,5,700,1,1,35,24,146,2
1,22,Turning Ideas Into Businesses,69,HairOriginals,Beauty/Fashion,Natural Hair Extensions,Middle,Gurgaon,Haryana,,50,62,60,2,3000,1,1,60,4,1500,3
1,22,Turning Ideas Into Businesses,70,Poo-de-Cologne,Beauty/Fashion,Toilet Spray with Essential Oils,Middle,Mumbai,Maharashtra,,0.75,150,75,5,1500,0,,,,,
1,22,Turning Ideas Into Businesses,71,Moonshine,Food,Meads,Middle,Mumbai,Maharashtra,372,,70,80,0.5,16000,1,0,,,,
1,22,Turning Ideas Into Businesses,72,Falhari,Food,Fresh Fruits salads,Middle,Gurgaon,Haryana,,1,25,50,2,2500,1,0,,,,
1,23,Investing In Innovation,73,NamhyaFoods,Food,Ayurvedic Enriched Food,Young,Jammu,Jammu & Kashmir,,16,34,100,5,2000,1,1,50,10,500,1
1,23,Investing In Innovation,74,UrbanMonkey,Beauty/Fashion,Streetwear,Young,Mumbai,Maharashtra,,200,25,100,1,10000,1,0,,,,
1,23,Investing In Innovation,75,GuardianGears,Manufacturing,Motorcycle Luggage bags,Middle,Hyderabad,Telangana,2500,21,50,30,5,600,1,0,,,,
1,23,Investing In Innovation,76,ModernMyth,Beauty/Fashion,Bags Slings Clutches Handbags Totes Laptop Bags Travel Essentials Pouches Trunks & Gifting,Young,Delhi,Delhi,,14,,75,5,1500,0,,,,,
1,24,A Decade Of Indian Entrepreneurship,77,TheSassBar,Beauty/Fashion,Gifts Soaps,Young,Mumbai,Maharashtra,,7,65,40,8,500,1,1,50,35,143,2
1,24,A Decade Of Indian Entrepreneurship,78,KGAgrotech,Agriculture,Agricultural Innovations,Young,Malegaon,Maharashtra,,,,30,10,300,1,1,10,40,25,1
1,24,A Decade Of Indian Entrepreneurship,79,NuskhaKitchen,Food,Homemade after delivery Foods,Middle,Jaipur,Rajasthan,,1.45,,20,10,200,0,,,,,
1,25,An Ocean Of Opportunities,80,PawsIndia,Animal/Pets,Dog Products,Young,Mumbai,Maharashtra,,20,,50,4,1250,1,1,50,15,333,1
1,25,An Ocean Of Opportunities,81,SunfoxTechnologies,Medical/Health,Portable ECG Device,Young,Dehradun,Uttarakhand,120,5,,100,2,5000,1,1,100,6,1667,5
1,25,An Ocean Of Opportunities,82,Alpino,Food,Roasted Peanut butter Products,Young,Surat,Gujarat,1000,,38,150,2,7500,1,0,,,,
1,26,Revolutionary Ideas,83,IsakFragrances,Beauty/Fashion,Perfumes Fragrances,Young,Lucknow,Uttar Pradesh,,3.5,,50,8,625,1,1,50,50,100,1
1,26,Revolutionary Ideas,84,JulaaAutomation,Manufacturing,Automatic Cradle,Middle,Ahmedabad,Gujarat,0,,,50,10,500,0,,,,,
1,26,Revolutionary Ideas,85,RarePlanet,Manufacturing,Handicrafts,Middle,Kolkata,West Bengal,,12,,65,1,6500,1,1,65,3,2167,1
1,27,Investing In The Future Of India,86,ThekaCoffee,Food,Coffee Products,Young,Gandhinagar,Gujarat,180,4,,50,10,500,0,,,,,
1,27,Investing In The Future Of India,87,WattTechnovations,Medical/Health,Ventilated PPE Kits,Young,Pune,Maharashtra,,,,0.00101,2,0,1,1,0.00101,4,0,4
1,27,Investing In The Future Of India,88,AlisteTechnologies,Technology/Software,Automation Solutions,Young,Noida,Uttar Pradesh,,7.5,40,60,5,1200,1,0,,,,
1,27,Investing In The Future Of India,89,InsuranceSamadhan,Services,Insurance Solutions,Middle,Noida,Uttar Pradesh,,22,,100,1,10000,1,1,100,4,2500,1
1,28,Meeting The New India Minds,90,HumpyA2,Food,Organic Milk A2 Products,Middle,Pune,Maharashtra,208,,44,75,4,1875,1,1,100,15,667,3
1,28,Meeting The New India Minds,91,KunafaWorld,Food,Kunafa food products,Young,Mangalore,Karnataka,200,30,30,90,5,1800,0,,,,,
1,28,Meeting The New India Minds,92,GoldSafeSolutions,Manufacturing,Anti-Suicidal Fan Rod,Middle,Mumbai,Maharashtra,50,,25,50,5,1000,1,1,50,30,167,3
1,29,Businesses Of Tomorrow,93,WakaoFoods,Food,Jackfruit Products,Middle,Goa,Goa,,6,,75,5,1500,1,1,75,21,357,3
1,29,Businesses Of Tomorrow,94,PDDFalcon,Manufacturing,Stainless Steel Items,Young,Gandhinagar,Gujarat,272,,30,75,3,2500,1,0,,,,
1,29,Businesses Of Tomorrow,95,PlayBoxTV,Services,Streaming Platform,Young,Mumbai,Maharashtra,1020,,,100,3.5,2857,1,0,,,,
1,30,Sharks Ki Expertise,96,Sippline,Manufacturing,Portable Glass Attachment Drinking Shields,Middle,Pune,Maharashtra,,,,75,15,500,0,,,,,
1,30,Sharks Ki Expertise,97,KabaddiAdda,Sports,All-Kabaddi App,Middle,Bangalore,Karnataka,250,,,80,1,8000,1,1,80,6,1333,2
1,30,Sharks Ki Expertise,98,ShadesofSpring,Services,Flowers,Young,Bangalore,Karnataka,900,,29,300,1,30000,0,,,,,
1,30,Sharks Ki Expertise,99,Scholify,Education,Scholarship Platform,Middle,Bangalore,Karnataka,0,,,50,7.5,667,0,,,,,
1,31,Entrepreneurship Ki Raah,100,Scrapshala,Manufacturing,Handmade Reusable Scrap Materials,Middle,Varanasi,Uttar Pradesh,,2,,50,10,500,0,,,,,
1,31,Entrepreneurship Ki Raah,101,Sabjikothi,Manufacturing,Vegetables Storage SaptKrishi,Young,Bhagalpur,Bihar,0,,,60,2.5,2400,0,,,,,
1,31,Entrepreneurship Ki Raah,102,AyuRythm,Medical/Health,Ayurvedic Wellness App,Middle,Bangalore,Karnataka,,,,75,2,3750,1,1,75,2.68,2799,1
1,31,Entrepreneurship Ki Raah,103,Astrix,Manufacturing,Smart Locks Qtouch,Middle,Coimbatore,Tamil Nadu,,18,,75,3,2500,0,,,,,
1,32,The Road To Success,104,TheaandSid,Services,Proposal Solutions,Middle,Mumbai,Maharashtra,16,10,75,80,7,1143,0,,,,,
1,32,The Road To Success,105,ExperentialEtc,Technology/Software,Technology layered advertisement services,Middle,Mumbai,Maharashtra,100,,,200,4,5000,1,0,,,,
1,32,The Road To Success,106,GrowFitter,Technology/Software,Rewards App,Middle,Mumbai,Maharashtra,170,,,50,1,5000,1,1,50,2,2500,1
1,32,The Road To Success,107,C3Med-Tech,Medical/Health,Portable ophthalmic vision devices,Middle,Ahmedabad,Gujarat,,,,35,6,583,1,0,,,,
